Science & Technology,Answer,History Question,Answer,Pop Culture Question,Answer,Random Fun Fact Question,Answer,Sports And general Question,Answer
the invention of writing systems first occur in Mesopotamia,3200 BC,the prophet Muhammad begin receiving revelations of the Quran,610,the Beatles appear on The Ed Sullivan Show,1964,the world record for fastest Mr. Potato Head assembly get set,2009,"USA hockey team defeat USSR in ""Miracle on Ice""",1980
the James Webb Space Telescope launch,2021,the Qin Dynasty unify China under the first emperor,221 BC,the Beatles break up officially,1970,the world record for largest snowflake get documented,1887,Usain Bolt set 100m world record (9.58 seconds),2009
the Large Hadron Collider become operational,2008,the Renaissance begin in Italy,1400,the Birth of Rock ‘n’ Roll happen,1950,the world record for longest mustache get set (14 feet),2015,Venus Williams win Wimbledon as first Black women's champion,2000
the last element of the periodic table get discovered,2002,the Russian Empire collapse,1917,the Doge meme go viral,2013,the world record for most high fives in one minute get achieved,2016,"Vince Carter ""Dunk of Death"" over Frederic Weis at Olympics",2000
the light bulb get invented,1879,the Russian Revolution overthrow the Tsar,1917,"the final ""Harry Potter"" film (""Deathly Hallows Part 2"") release",2011,the world record for most people flossing simultaneously get set,2018,Wayne Gretzky break Gordie Howe's scoring record,1989
the lightning rod get invented by Franklin,1752,the San Francisco Earthquake destroy the city,1906,the first episode of Sesame Street air,1969,the world record for most people making heart hands gesture get set,2018,Wilt Chamberlain score 100 points in single game,1962
the locomotive get demonstrated by Trevithick,1804,the Six-Day War transform the Middle East,1967,the first episode of The Simpsons air,1989,the world record for most people simultaneously flossing get set,2018,,
the marine chronometer get invented,1735,the Spanish Armada get defeated by England,1588,the first Lord of the Rings movie premiere,2001,the world record for most people twerking simultaneously get set,2015,,
the microscope get invented in Netherlands,1590,the stock market crash trigger the Great Depression,1929,the first Marvel Cinematic Universe film (Iron Man) premiere,2008,the world record for most people wearing animal onesies get set,2016,,
the pencil get invented in England,1565,the Suez Crisis occur,1956,the first Star Trek episode air,1966,the world record for most people wearing Christmas sweaters get set,2019,,
the periodic table get organized by Mendeleev,1869,the Thirty Years' War begin in Central Europe,1618,the Goo Goo Dolls have their famous rain performance,2004,the world record for most people wearing fake mustaches get set,2015,,
the phonograph get invented by Edison,1877,the Titanic sink,1912,the Hide the Pain Harold meme become popular,2011,the world record for most people wearing false noses get set,2015,,
the Pythagorean theorem get formalized in Greece,500 BC,the Titanic sink,1912,the Kardashians first season relese,2022,the world record for most people wearing inflatable sumo suits get set,2017,,
the radio get patented by Marconi,1897,the transcontinental railroad be completed in the US,1869,the Osbournes premiere creating the celebrity reality TV genre,2002,the world record for most people wearing light-up sneakers get set,2019,,
the refrigirator get invented,1748,the Trojan War traditionally take place according to Greek epics,1184 BC,the Pac-Man video game release and spark an arcade craze,1980,the world record for most people wearing swimming goggles get set,2018,,
the sewing machine get patented by Howe,1846,the Vietnam War end,1975,the Rolling Stones perform first concert with hologram of deceased member,2022,the world record for most socks put on one foot in 30 seconds get set,2019,,
the steam engine get patented by Savery,1698,the Watergate break-in occur,1972,"the Social Network film popularize the ""You're an asshole"" breakup line",2010,the world record for most socks worn on one foot get set,2019,,
the stethoscope get invented by Laënnec,1816,the Western part of the Roman Empire fall,476 AD,the Weeknd begin his Grammy boycott after award snubs,2020,the world record for most spoons balanced on a face get set,2019,,
the telegraph get demonstrated by Morse,1838,the Wright brothers achieve powered flight,1903,the Willy Wonka & the Chocolate Factory movie come out,1971,the world's largest collection of banana stickers get certified,2019,,
the telephone get patented by Bell,1876,the Yom Kippur War begin,1973,the Wizard of Oz film bring Technicolor fantasy to life,1939,the world's largest collection of rubber ducks get counted (9000+),2011,,
the telescope get used for astronomy by Galileo,1609,Valentina Tereshkova become the first woman in space,1963,TikTok become the dominant short-form video platform globally,2019,the world's largest cup of coffee get brewed (3700 gallons),2014,,
the typewriter get patented by Burt,1829,Vasco da Gama discover India,1498,Timothée Chalamet appear at his own NYC lookalike contest,2024,the world's largest display of carved pumpkins occur,2013,,
the wheel get invented,3500 BC,Vasco da Gama reach India by sea,1498,Tupac and Biggie perform together at Madison Square garden,1993,the world's largest display of garden flamingos occur,2014,,
the wheel get used for transport in Mesopotamia,3500 BC,Vitus Bering discover Alaska,1741,Vine get shut down,2017,the world's largest display of garden gnomes occur (2014 gnomes),2011,,
the Wright brothers achieve powered flight,1903,World War II end in Europe,1945,Vinyl records outsell CDs for the first time in the digital age,2020,the world's largest game of hide-and-seek take place,2019,,
Thomas Edison invent the phonograph,1877,Yuri Gagarin become the first man in space,1961,Wham! release 'Last Christmas',1984,the world's largest game of musical chairs occur,2012,,
Thomas Edison invent the practical incandescent light bulb,1879,,,"Whitney Houston's ""I Will Always Love You"" top charts",1992,the world's largest game of musical chairs occur in Wisconsin,2012,,
Tim Berners-Lee propose the World Wide Web,1989,,,,,the world's largest gathering of people dressed as walruses happen,2013,,
vaccines first get used,1796,,,,,the world's largest gathering of people with purple hair occur,2017,,
Wikipedia launch,2001,,,,,the world's largest hula hoop workout occur,2019,,
Wilhelm Röntgen discover X-rays,1895,,,,,the world's largest human chain of high-fives occur,2016,,
,,,,,,the world's largest human mattress dominoes chain get completed,2016,,
,,,,,,the world's largest pillow fight happen in Chicago,2018,,
,,,,,,the world's largest pillow fight take place (Chicago),2018,,
,,,,,,the world's largest pizza get made (13580 sq ft),2012,,
,,,,,,the world's largest pizza get made in Rome,2012,,
,,,,,,the world's largest rubber band ball get assembled (9032 lbs),2019,,
,,,,eurovision questions,,the world's largest snowflake get recorded (15 inches wide),1887,,
,,,,,,"the world's largest synchronized dance to ""Thriller"" occur",2019,,
,,,,meme questions,,the world's largest water balloon fight occur,2011,,
,,,,,,,,,
,,,,tv show question s,,,,,
